title,price,rooms,area,parking,bathrooms,tax,condominium_fee,link,city,neighborhood
"Apartamento com 2 quartos para alugar por R$ 2400.00, 64.88 m2 - BACACHERI - CURITIBA/PR",2400,2.0,65.0,1.0,1.0,91.0,390.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-por-r-2400-00-64-88-m2-bacacheri-curitiba-pr-1332702739,Curitiba,Bacacheri
"Apartamento com 1 quarto para alugar por R$ 1700.00, 29.97 m2 - PORTAO - CURITIBA/PR",1700,1.0,30.0,,1.0,,250.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-quarto-para-alugar-por-r-1700-00-29-97-m2-portao-curitiba-pr-1332702721,Curitiba,Portão
IMOBILIÁRIA JUVEVÊ ALUGA APARTAMENTO MOBILIADO VILA IZABEL PRX AV.REP.ARGENTINA SHOPPING A,3900,2.0,66.0,1.0,1.0,,463.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/imobiliaria-juveve-aluga-apartamento-mobiliado-vila-izabel-prx-av-rep-argentina-shopping-a-1332691013,Curitiba,Vila Izabel
"Apartamento com 2 quartos para alugar por R$ 1300.00, 45.50 m2 - CAJURU - CURITIBA/PR",1300,2.0,46.0,1.0,1.0,21.0,250.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-por-r-1300-00-45-50-m2-cajuru-curitiba-pr-1332690905,Curitiba,Cajuru
"Apartamento no Centro Cívico com 2 quartos de 106,42m² - Edifício Paris",1300,2.0,58.0,1.0,2.0,91.0,240.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-no-centro-civico-com-2-quartos-de-106-42m-edificio-paris-1332675132,Curitiba,Centro Cívico
Apartamento Boa Vista,1600,3.0,80.0,1.0,2.0,50.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-boa-vista-1332665503,Curitiba,Boa Vista
Cobertura Duplex no Portão,3500,3.0,,1.0,3.0,190.0,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/cobertura-duplex-no-portao-1315478540,Curitiba,Portão
Oportunidade Única Para Sair do Aluguel e Conquistar o Seu Imóvel,120000,2.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/oportunidade-unica-para-sair-do-aluguel-e-conquistar-o-seu-imovel-1332658014,Curitiba,Centro
Apartamento no Água Verde,2700,3.0,94.0,1.0,2.0,154.0,950.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-no-agua-verde-1332652699,Curitiba,Água Verde
"Imobiliária Cilar Aluga Apartamento 1 Quarto no Batel com 84,16m², Ref. 10006.033 - CILAR",1200,1.0,36.0,1.0,1.0,149.0,955.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/imobiliaria-cilar-aluga-apartamento-1-quarto-no-batel-com-84-16m-ref-10006-033-cilar-1332642161,Curitiba,Batel
Apartamento Cajuru 01 quarto,1600,1.0,30.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-cajuru-01-quarto-1327223017,Curitiba,Cajuru
Oportunidade Única Para Sair do Aluguel e Conquistar o Seu Imovel,120000,2.0,,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/oportunidade-unica-para-sair-do-aluguel-e-conquistar-o-seu-imovel-1332633004,Colombo,Roça Grande
Apartamento com 3 quartos e 2 vagas de garagem no Edifício Botânica Bairro Cristo Rei para,6900,3.0,113.0,2.0,3.0,366.0,747.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-quartos-e-2-vagas-de-garagem-no-edificio-botanica-bairro-cristo-rei-para-1332631507,Curitiba,Cristo Rei
Apartamento 01 Quarto - Centro,950,1.0,,,1.0,50.0,380.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-01-quarto-centro-1332623272,Curitiba,Centro
Ensolarado apartamento para alugar no Água Verde,3000,2.0,73.0,1.0,2.0,170.0,903.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/ensolarado-apartamento-para-alugar-no-agua-verde-1332617503,Curitiba,Água Verde
Apartamento dois quartos direto com o proprietário,1100,2.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-dois-quartos-direto-com-o-proprietario-1332617140,Curitiba,Boqueirão
Apartamento com 2 quartos no conj. Buriti,1650,2.0,40.0,1.0,1.0,25.0,450.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-no-conj-buriti-1329712649,Curitiba,Campo Comprido
Apartamento encantador no Batel,2700,1.0,35.0,1.0,1.0,74.0,255.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-encantador-no-batel-1332612510,Curitiba,Centro
Espaço e aconchego que você sempre sonhou!,4500,3.0,107.0,1.0,2.0,237.0,442.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/espaco-e-aconchego-que-voce-sempre-sonhou-1332612499,Curitiba,Água Verde
Modernidade e Elegância no Mercês,5800,3.0,85.0,2.0,3.0,247.0,1188.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/modernidade-e-elegancia-no-merces-1332612452,Curitiba,Mercês
Modernidade e conforto no Ecoville,13500,3.0,179.0,2.0,5.0,349.0,1603.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/modernidade-e-conforto-no-ecoville-1332612453,Curitiba,Mossunguê
"Apartamento no centro SJP, 2 quartos.",1650,2.0,,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-no-centro-sjp-2-quartos-1332603890,São José dos Pinhais,Centro
Apartamento semimobiliado maravilhoso.2 quartos.LocaçãoQuinto Andar,1680,2.0,48.0,1.0,1.0,,290.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-semimobiliado-maravilhoso-2-quartos-locacaoquinto-andar-1320905016,São José dos Pinhais,Parque da Fonte
Kitnet mobiliada apenas para solteiros sem filhos ou pets,900,1.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/kitnet-mobiliada-apenas-para-solteiros-sem-filhos-ou-pets-1330938248,Curitiba,Tatuquara
Apartamento de 1 Dormitório no Centro,1000,1.0,50.0,,1.0,543.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-de-1-dormitorio-no-centro-1332573761,Curitiba,Centro
Alugo apartamento em Campo Largo no centro,1500,2.0,85.0,1.0,2.0,,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apartamento-em-campo-largo-no-centro-1332567167,Campo Largo,Ouro Verde
"Alugo Apartamento no Fazendinha, mobiliado com 03 quartos",2000,3.0,57.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apartamento-no-fazendinha-mobiliado-com-03-quartos-1332566281,Curitiba,Fazendinha
Alugo apartamentos Tatuquara,1000,2.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apartamentos-tatuquara-1332530777,Curitiba,Tatuquara
"Apartamento com 3 dormitórios para alugar, 56 m² por R$ 2.572,52/mês - Pinheirinho - Curit",2000,3.0,57.0,1.0,1.0,890.0,498.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-para-alugar-56-m-por-r-2-572-52-mes-pinheirinho-curit-1332530698,Curitiba,Pinheirinho
"Apartamento com 2 dormitórios para alugar, 48 m² por R$ 1.999,00/mês - Boa Vista - Curitib",1500,2.0,48.0,1.0,1.0,648.0,400.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-dormitorios-para-alugar-48-m-por-r-1-999-00-mes-boa-vista-curitib-1332526035,Curitiba,Boa Vista
Apartamento 2 quartos térreo,1150,2.0,40.0,1.0,1.0,30.0,300.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-2-quartos-terreo-1332525245,Almirante Tamandaré,Jardim Campo Verde
AP São José dos Pinhais,1200,2.0,,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/ap-sao-jose-dos-pinhais-1332524632,São José dos Pinhais,São Pedro
"Apartamento com 2 dormitórios para alugar, 58 m² por R$ 2.441,46/mês - Santa Cândida - Cur",1800,2.0,58.0,1.0,2.0,858.0,570.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-dormitorios-para-alugar-58-m-por-r-2-441-46-mes-santa-candida-cur-1332523169,Curitiba,Santa Cândida
Studio maravilhoso mobiliado 23m2,3490,1.0,23.0,,1.0,600.0,230.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-maravilhoso-mobiliado-23m2-1332522910,Curitiba,Água Verde
"Apartamento com 2 Quartos e 2 banheiro para Alugar, 65 m² por R$ 2.600/Cabral Curtiba/PR",3000,1.0,75.0,1.0,1.0,190.0,515.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-e-2-banheiro-para-alugar-65-m-por-r-2-600-cabral-curtiba-pr-1332522773,Curitiba,Cabral
Kitinete mobiliada em Araucária.,1200,1.0,,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/kitinete-mobiliada-em-araucaria-1329107844,Araucária,Cachoeira
"Ap-Kitnet nova mobiliada com garagem dir. prop. Sem Condomínio, Água Verde-Curitiba",1100,1.0,30.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/ap-kitnet-nova-mobiliada-com-garagem-dir-prop-sem-condominio-agua-verde-curitiba-1324912471,Curitiba,Água Verde
Apartamento no CHNM-1,2600,3.0,83.0,1.0,1.0,320.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-no-chnm-1-1321874426,Curitiba,Novo Mundo
"Studios para Locação - Av. Affonso Penna, 564 - Tarumã e Dr Goullin, 1126 Hugo Lange",1680,1.0,23.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studios-para-locacao-av-affonso-penna-564-taruma-e-dr-goullin-1126-hugo-lange-1235833705,Curitiba,Tarumã
"Apartamento com 1 quarto para alugar por R$ 2900.00, 48.08 m2 - BATEL - CURITIBA/PR",2900,1.0,48.0,1.0,1.0,131.0,490.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-quarto-para-alugar-por-r-2900-00-48-08-m2-batel-curitiba-pr-1332522630,Curitiba,Batel
"Apartamento com 2 quartos para alugar por R$ 2900.00, 80.00 m2 - BIGORRILHO - CURITIBA/PR",2900,2.0,80.0,1.0,2.0,152.0,667.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-por-r-2900-00-80-00-m2-bigorrilho-curitiba-pr-1332520903,Curitiba,Bigorrilho
"Apartamento com 1 quarto para alugar por R$ 1100.00, 35.50 m2 - CENTRO - CURITIBA/PR",1100,1.0,36.0,,1.0,78.0,270.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-quarto-para-alugar-por-r-1100-00-35-50-m2-centro-curitiba-pr-1332520083,Curitiba,Centro
Apartamento com 2 quartos e 1 vaga para aluguel no Novo Mundo,3500,2.0,61.0,1.0,2.0,86.0,421.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-e-1-vaga-para-aluguel-no-novo-mundo-1332519973,Curitiba,Novo Mundo
"Studio com 1 dormitório para alugar, 36 m² por R$ 1.500/mês - Batel - Curitiba/PR",1500,1.0,36.0,1.0,1.0,1609.0,808.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-com-1-dormitorio-para-alugar-36-m-por-r-1-500-mes-batel-curitiba-pr-1332517853,Curitiba,Batel
"Cobertura com 3 dormitórios para alugar, 146 m² por R$ 10.508,67/mês - Batel - Curitiba/PR",8500,3.0,147.0,2.0,3.0,2504.0,1800.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/cobertura-com-3-dormitorios-para-alugar-146-m-por-r-10-508-67-mes-batel-curitiba-pr-1332516600,Curitiba,Batel
"Apartamento com 3 dormitórios para alugar, 149 m² por R$ 4.600,00/mês - Batel - Curitiba/P",4000,3.0,149.0,2.0,3.0,,600.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-para-alugar-149-m-por-r-4-600-00-mes-batel-curitiba-p-1332516563,Curitiba,Batel
"Apartamento de 1 quarto para locação no Batel, Curitiba, PR",2400,1.0,25.0,,1.0,47.0,493.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-de-1-quarto-para-locacao-no-batel-curitiba-pr-1332514194,Curitiba,Centro
Excelente Apartamento no Boqueirão,2100,2.0,64.0,1.0,1.0,,670.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/excelente-apartamento-no-boqueirao-1332513841,Curitiba,Boqueirão
"Apartamento com 2 dormitórios para alugar, 51 m² por R$ 2.427,93/mês - Campo Comprido - Cu",2000,2.0,52.0,1.0,1.0,575.0,380.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-dormitorios-para-alugar-51-m-por-r-2-427-93-mes-campo-comprido-cu-1332513659,Curitiba,Campo Comprido
STUDIO NOVO NO CENTRO DE CURITIBA!,2684,1.0,32.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-novo-no-centro-de-curitiba-1332513070,Curitiba,Centro
Excelente Studio para alugar com 26m²,3700,1.0,26.0,,1.0,100.0,600.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/excelente-studio-para-alugar-com-26m-1332513020,Curitiba,Água Verde
Studio para alugar com 26m² no Batel,3500,1.0,26.0,,1.0,100.0,600.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-para-alugar-com-26m-no-batel-1332512669,Curitiba,Água Verde
Apartamento com 3 quartos para alugar 66 m² - R$ 2.400/mês - Cabral - Curitiba/PR,2400,3.0,66.0,1.0,1.0,1154.0,380.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-quartos-para-alugar-66-m-r-2-400-mes-cabral-curitiba-pr-1332512342,Curitiba,Cabral
"Flat com 1 Quarto e 1 banheiro para Alugar, 25 m² por R$ 3,500/Mês",2200,1.0,25.0,,1.0,,1500.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/flat-com-1-quarto-e-1-banheiro-para-alugar-25-m-por-r-3-500-mes-1332512298,Curitiba,Alto da Rua XV
"Apartamento com 3 dormitórios para alugar, 94 m² por R$ 3.825,88/mês - Bigorrilho - Curiti",2900,3.0,94.0,1.0,2.0,1934.0,559.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-para-alugar-94-m-por-r-3-825-88-mes-bigorrilho-curiti-1332511921,Curitiba,Bigorrilho
"Apartamento para alugar com 2 quartos no RESIDENCIAL BUENOS AIRES, Curitiba.",3890,2.0,90.0,1.0,2.0,212.0,655.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-alugar-com-2-quartos-no-residencial-buenos-aires-curitiba-1332511430,Curitiba,Portão
"Apartamento com 2 dormitórios para alugar, 57 m² por R$ 2.600,00/mês - Fanny - Curitiba/PR",2150,2.0,57.0,1.0,2.0,780.0,385.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-dormitorios-para-alugar-57-m-por-r-2-600-00-mes-fanny-curitiba-pr-1332508877,Curitiba,Xaxim
"Apartamento - R Vicente Machado, 198 - Centro - Curitiba - PR",1950,3.0,84.0,,2.0,192.0,415.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-r-vicente-machado-198-centro-curitiba-pr-1332508881,Curitiba,Centro
"Apartamento com 3 quartos para alugar por R$ 1870.00, 72.41 m2 - BOQUEIRAO - CURITIBA/PR",1870,3.0,72.0,2.0,2.0,112.0,368.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-quartos-para-alugar-por-r-1870-00-72-41-m2-boqueirao-curitiba-pr-1332507621,Curitiba,Boqueirão
"Apartamento - R Francisco Derosso, 6275 - Alto Boqueirao - Curitiba - PR",1800,2.0,54.0,1.0,1.0,76.0,245.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-r-francisco-derosso-6275-alto-boqueirao-curitiba-pr-1332507445,Curitiba,Alto Boqueirão
"Apartamento - R Acyr Goncalves Martins, 573 - Vila Ipanema - Piraquara - PR",1200,3.0,64.0,,1.0,54.0,278.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-r-acyr-goncalves-martins-573-vila-ipanema-piraquara-pr-1332507178,Piraquara,Vila Ipanema
"Apartamento com 42,64m² 2 quartos, para aluguel, no bairro Afonso Pena em São José dos Pin",1200,2.0,43.0,1.0,1.0,286.0,376.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-42-64m-2-quartos-para-aluguel-no-bairro-afonso-pena-em-sao-jose-dos-pin-1332502909,São José dos Pinhais,Afonso Pena
"Apartamento com 66,25m² 3 quartos, para aluguel, no bairro Iná em São José dos Pinhais",1500,3.0,66.0,1.0,1.0,592.0,350.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-66-25m-3-quartos-para-aluguel-no-bairro-ina-em-sao-jose-dos-pinhais-1332501237,São José dos Pinhais,Iná
"Apartamento para aluguel, 3 quartos, 1 suíte, 1 vaga, Bigorrilho - Curitiba/PR",7600,3.0,148.0,1.0,3.0,261.0,1079.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-aluguel-3-quartos-1-suite-1-vaga-bigorrilho-curitiba-pr-1332501213,Curitiba,Bigorrilho
Apartamento com 3 dormitórios para alugar por R$ 2.640/mês - Jardim Paulista - Campina Gra,2500,3.0,160.0,2.0,1.0,1680.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-dormitorios-para-alugar-por-r-2-640-mes-jardim-paulista-campina-gra-1332501068,Campina Grande do Sul,N/A
"Apartamento com 02 dormitórios, sendo 01 suíte com closet e 01 vaga de garagem para locaçã",2750,2.0,65.0,1.0,2.0,1012.0,605.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-02-dormitorios-sendo-01-suite-com-closet-e-01-vaga-de-garagem-para-locaca-1332499471,Curitiba,Mossunguê
"Apartamento para aluguel, 2 quartos, 1 vaga, Centro - Curitiba/PR",7500,2.0,90.0,1.0,1.0,400.0,1800.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-aluguel-2-quartos-1-vaga-centro-curitiba-pr-1332498973,Curitiba,Centro
Apartamento com 2 quartos e 1 vaga para aluguel no Novo Mundo,3500,2.0,61.0,1.0,2.0,86.0,421.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-e-1-vaga-para-aluguel-no-novo-mundo-1332497967,Curitiba,Novo Mundo
APTO NOVO MUNDO PROX REPUBLICA ARGENTINA 3 DORM SENDO 1 SUITE SACADA CHURRASQUEIRA,2000,3.0,55.0,1.0,2.0,960.0,600.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apto-novo-mundo-prox-republica-argentina-3-dorm-sendo-1-suite-sacada-churrasqueira-1332497695,Curitiba,Capão Raso
"Apartamento com 2 quartos para alugar por R$ 2500.00, 62.25 m2 - BACACHERI - CURITIBA/PR",2500,2.0,62.0,1.0,1.0,82.0,616.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-por-r-2500-00-62-25-m2-bacacheri-curitiba-pr-1332497652,Curitiba,Bacacheri
Studio Mobiliado no Batel - 36m² | Curitiba PR,3000,1.0,36.0,,1.0,804.0,406.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/studio-mobiliado-no-batel-36m-curitiba-pr-1332497551,Curitiba,Água Verde
"Apartamento com 2 quartos para alugar por R$ 1300.00, 73.72 m2 - AFONSO PENA - SAO JOSE DO",1300,2.0,74.0,1.0,2.0,60.0,440.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-por-r-1300-00-73-72-m2-afonso-pena-sao-jose-do-1332496787,São José dos Pinhais,Iná
"Apartamento com 1 quarto para alugar por R$ 1100.00, 50.00 m2 - BOQUEIRAO - CURITIBA/PR",1100,1.0,50.0,1.0,1.0,58.0,65.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-quarto-para-alugar-por-r-1100-00-50-00-m2-boqueirao-curitiba-pr-1332496709,Curitiba,Boqueirão
"Apartamento com 2 quartos para alugar, 105 m² por R$ 1.700/mês - Campo Comprido - Curitiba",1700,2.0,105.0,2.0,1.0,774.0,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-2-quartos-para-alugar-105-m-por-r-1-700-mes-campo-comprido-curitiba-1332493907,Curitiba,Cidade Industrial
Apartamento alugar Centro 46m² Mobiliado Com 1 Quarto,3179,1.0,46.0,,1.0,468.0,450.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-alugar-centro-46m-mobiliado-com-1-quarto-1332493036,Curitiba,Centro
"Apartamento à venda em Condominio Club no Ecoville, 03 Suítes, 03 Vagas.",11900,3.0,174.0,3.0,5.0,6912.0,1870.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-a-venda-em-condominio-club-no-ecoville-03-suites-03-vagas-1332492342,Curitiba,Campo Comprido
"Excelente apartamento, para alugar no Seminário - Curitiba/PR.",5000,2.0,108.0,1.0,2.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/excelente-apartamento-para-alugar-no-seminario-curitiba-pr-1332488569,Curitiba,Seminário
"Apartamento com 1 dormitório para alugar, 27 m² por R$ 3.050,00/mês - Batel - Curitiba/PR",2500,1.0,28.0,,1.0,1200.0,450.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-dormitorio-para-alugar-27-m-por-r-3-050-00-mes-batel-curitiba-pr-1332488459,Curitiba,Centro
Apartamento a venda próximo ao Sesc Caiobá,200,2.0,57.0,1.0,2.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-a-venda-proximo-ao-sesc-caioba-1332481374,Matinhos,N/A
